Variable i,Variable j,Time lag of i,Link type i --- j,Link value
active_addresses_1h_chainlink,transaction_volume_ethereum,0,o-o,0.096524
active_addresses_1h_chainlink,transaction_volume_chainlink,0,o-o,0.11694
active_addresses_1h_chainlink,age_consumed_chainlink,0,o-o,0.034972
network_growth_tether,network_growth_tether,1,-->,0.70624
network_growth_tether,network_growth_bitcoin,0,o-o,0.51941
network_growth_tether,network_growth_ethereum,0,o-o,0.50707
network_growth_tether,network_growth_chainlink,0,o-o,0.33636
network_growth_tether,age_consumed_tether,0,o-o,-0.066431
network_growth_tether,percent_of_total_supply_on_exchanges_tether,0,o-o,0.46439
network_growth_tether,percent_of_total_supply_on_exchanges_santiment,0,o-o,0.47302
network_growth_tether,percent_of_total_supply_on_exchanges_bitcoin,0,o-o,0.46769
network_growth_tether,percent_of_total_supply_on_exchanges_ethereum,0,o-o,0.45879
network_growth_tether,percent_of_total_supply_on_exchanges_chainlink,0,o-o,0.46964
network_growth_bitcoin,network_growth_bitcoin,1,-->,0.7075
network_growth_bitcoin,network_growth_ethereum,0,o-o,0.46604
network_growth_bitcoin,network_growth_chainlink,0,o-o,0.32908
network_growth_bitcoin,sentiment_weighted_total_ethereum,0,o-o,0.035633
network_growth_bitcoin,whale_transaction_count_100k_usd_to_inf_chainlink,0,o-o,-0.032652
network_growth_bitcoin,age_consumed_tether,0,o-o,-0.080188
network_growth_bitcoin,percent_of_total_supply_on_exchanges_tether,0,o-o,0.56033
network_growth_bitcoin,percent_of_total_supply_on_exchanges_santiment,0,o-o,0.56457
network_growth_bitcoin,percent_of_total_supply_on_exchanges_bitcoin,0,o-o,0.54008
network_growth_bitcoin,percent_of_total_supply_on_exchanges_ethereum,0,o-o,0.54743
network_growth_bitcoin,percent_of_total_supply_on_exchanges_chainlink,0,o-o,0.55873
network_growth_ethereum,active_addresses_1h_ethereum,1,-->,-0.044569
network_growth_ethereum,network_growth_ethereum,1,-->,0.70559
network_growth_ethereum,network_growth_chainlink,0,o-o,0.15701
network_growth_ethereum,sentiment_weighted_total_chainlink,0,o-o,0.03075
network_growth_ethereum,age_consumed_ethereum,0,o-o,-0.045609
network_growth_ethereum,percent_of_total_supply_on_exchanges_tether,0,o-o,0.4621
network_growth_ethereum,percent_of_total_supply_on_exchanges_santiment,0,o-o,0.46577
network_growth_ethereum,percent_of_total_supply_on_exchanges_bitcoin,0,o-o,0.46464
network_growth_ethereum,percent_of_total_supply_on_exchanges_ethereum,0,o-o,0.45821
network_growth_ethereum,percent_of_total_supply_on_exchanges_chainlink,0,o-o,0.45771
network_growth_chainlink,network_growth_chainlink,1,-->,0.68417
network_growth_chainlink,age_consumed_tether,0,o-o,-0.14066
network_growth_chainlink,percent_of_total_supply_on_exchanges_tether,0,o-o,0.35782
network_growth_chainlink,percent_of_total_supply_on_exchanges_santiment,0,o-o,0.35739
network_growth_chainlink,percent_of_total_supply_on_exchanges_bitcoin,0,o-o,0.35486
network_growth_chainlink,percent_of_total_supply_on_exchanges_ethereum,0,o-o,0.33329
network_growth_chainlink,percent_of_total_supply_on_exchanges_chainlink,0,o-o,0.36202
sentiment_weighted_total_tether,sentiment_weighted_total_tether,1,-->,0.047656
sentiment_weighted_total_tether,sentiment_weighted_total_bitcoin,0,o-o,0.060915
sentiment_weighted_total_tether,sentiment_weighted_total_ethereum,0,o-o,0.036258
sentiment_weighted_total_tether,whale_transaction_count_100k_usd_to_inf_tether,0,o-o,0.06192
sentiment_weighted_total_tether,whale_transaction_count_100k_usd_to_inf_ethereum,0,o-o,0.043307
sentiment_weighted_total_tether,percent_of_total_supply_on_exchanges_tether,0,o-o,-0.031064
sentiment_weighted_total_tether,percent_of_total_supply_on_exchanges_santiment,0,o-o,-0.032277
sentiment_weighted_total_tether,percent_of_total_supply_on_exchanges_ethereum,0,o-o,-0.030901
sentiment_weighted_total_tether,percent_of_total_supply_on_exchanges_chainlink,0,o-o,-0.0327
sentiment_weighted_total_bitcoin,exchange_inflow_usd_ethereum,1,-->,0.04809
sentiment_weighted_total_bitcoin,active_addresses_1h_tether,1,-->,0.049426
sentiment_weighted_total_bitcoin,active_addresses_1h_ethereum,1,-->,0.051012
sentiment_weighted_total_bitcoin,sentiment_weighted_total_bitcoin,1,-->,0.14451
sentiment_weighted_total_bitcoin,sentiment_weighted_total_ethereum,0,o-o,0.16958
sentiment_weighted_total_bitcoin,sentiment_weighted_total_ethereum,1,-->,0.051503
sentiment_weighted_total_bitcoin,sentiment_weighted_total_chainlink,0,o-o,0.038665
sentiment_weighted_total_bitcoin,whale_transaction_count_100k_usd_to_inf_tether,0,o-o,0.15649
sentiment_weighted_total_bitcoin,whale_transaction_count_100k_usd_to_inf_tether,1,-->,0.087672
sentiment_weighted_total_bitcoin,whale_transaction_count_100k_usd_to_inf_ethereum,0,o-o,0.053804
sentiment_weighted_total_bitcoin,whale_transaction_count_100k_usd_to_inf_chainlink,0,o-o,0.034974
sentiment_weighted_total_bitcoin,transaction_volume_ethereum,0,o-o,0.055948
sentiment_weighted_total_ethereum,sentiment_weighted_total_bitcoin,1,-->,0.057695
sentiment_weighted_total_ethereum,sentiment_weighted_total_ethereum,1,-->,0.079471
sentiment_weighted_total_ethereum,whale_transaction_count_100k_usd_to_inf_bitcoin,0,o-o,-0.044433
sentiment_weighted_total_ethereum,whale_transaction_count_100k_usd_to_inf_chainlink,0,o-o,-0.033988
sentiment_weighted_total_ethereum,transaction_volume_bitcoin,0,o-o,-0.041789
sentiment_weighted_total_chainlink,exchange_outflow_usd_ethereum,1,-->,0.047592
sentiment_weighted_total_chainlink,whale_transaction_count_100k_usd_to_inf_tether,1,-->,0.048231
sentiment_weighted_total_chainlink,transaction_volume_chainlink,0,o-o,0.031469
whale_transaction_count_100k_usd_to_inf_tether,exchange_inflow_usd_tether,1,-->,0.14664
whale_transaction_count_100k_usd_to_inf_tether,exchange_inflow_usd_ethereum,1,-->,0.066555
whale_transaction_count_100k_usd_to_inf_tether,exchange_outflow_usd_tether,1,-->,0.15546
whale_transaction_count_100k_usd_to_inf_tether,exchange_outflow_usd_bitcoin,1,-->,0.063147
whale_transaction_count_100k_usd_to_inf_tether,exchange_outflow_usd_ethereum,1,-->,0.063961
whale_transaction_count_100k_usd_to_inf_tether,active_addresses_1h_tether,1,-->,0.083338
whale_transaction_count_100k_usd_to_inf_tether,active_addresses_1h_ethereum,1,-->,0.094903
whale_transaction_count_100k_usd_to_inf_tether,sentiment_weighted_total_bitcoin,1,-->,0.061902
whale_transaction_count_100k_usd_to_inf_tether,whale_transaction_count_100k_usd_to_inf_tether,1,-->,0.51188
whale_transaction_count_100k_usd_to_inf_tether,whale_transaction_count_100k_usd_to_inf_bitcoin,0,o-o,0.16329
whale_transaction_count_100k_usd_to_inf_tether,whale_transaction_count_100k_usd_to_inf_bitcoin,1,-->,0.10502
whale_transaction_count_100k_usd_to_inf_tether,whale_transaction_count_100k_usd_to_inf_ethereum,0,o-o,0.41845
whale_transaction_count_100k_usd_to_inf_tether,whale_transaction_count_100k_usd_to_inf_ethereum,1,-->,0.094116
whale_transaction_count_100k_usd_to_inf_tether,whale_transaction_count_100k_usd_to_inf_chainlink,0,o-o,0.22779
whale_transaction_count_100k_usd_to_inf_tether,whale_transaction_count_100k_usd_to_inf_chainlink,1,-->,0.081956
whale_transaction_count_100k_usd_to_inf_tether,transaction_volume_bitcoin,0,o-o,0.08889
whale_transaction_count_100k_usd_to_inf_tether,transaction_volume_bitcoin,1,-->,0.1037
whale_transaction_count_100k_usd_to_inf_tether,transaction_volume_ethereum,0,o-o,0.31752
whale_transaction_count_100k_usd_to_inf_tether,transaction_volume_ethereum,1,-->,0.12536
whale_transaction_count_100k_usd_to_inf_tether,transaction_volume_chainlink,0,o-o,0.051927
whale_transaction_count_100k_usd_to_inf_tether,age_consumed_tether,0,o-o,0.048227
whale_transaction_count_100k_usd_to_inf_bitcoin,active_addresses_1h_bitcoin,1,-->,-0.10078
whale_transaction_count_100k_usd_to_inf_bitcoin,sentiment_weighted_total_bitcoin,1,-->,0.051406
whale_transaction_count_100k_usd_to_inf_bitcoin,whale_transaction_count_100k_usd_to_inf_bitcoin,1,-->,-0.074722
whale_transaction_count_100k_usd_to_inf_bitcoin,whale_transaction_count_100k_usd_to_inf_ethereum,0,o-o,0.14052
whale_transaction_count_100k_usd_to_inf_bitcoin,whale_transaction_count_100k_usd_to_inf_chainlink,0,o-o,0.059984
whale_transaction_count_100k_usd_to_inf_bitcoin,transaction_volume_bitcoin,0,o-o,0.59546
whale_transaction_count_100k_usd_to_inf_bitcoin,transaction_volume_bitcoin,1,-->,-0.13394
whale_transaction_count_100k_usd_to_inf_bitcoin,transaction_volume_ethereum,0,o-o,0.098977
whale_transaction_count_100k_usd_to_inf_bitcoin,transaction_volume_chainlink,0,o-o,0.039694
whale_transaction_count_100k_usd_to_inf_bitcoin,age_consumed_bitcoin,0,o-o,0.059364
whale_transaction_count_100k_usd_to_inf_ethereum,exchange_inflow_usd_ethereum,1,-->,0.093947
whale_transaction_count_100k_usd_to_inf_ethereum,exchange_outflow_usd_chainlink,1,-->,0.073358
whale_transaction_count_100k_usd_to_inf_ethereum,active_addresses_1h_chainlink,1,-->,0.11409
whale_transaction_count_100k_usd_to_inf_ethereum,whale_transaction_count_100k_usd_to_inf_tether,1,-->,0.060082
whale_transaction_count_100k_usd_to_inf_ethereum,whale_transaction_count_100k_usd_to_inf_bitcoin,1,-->,0.060349
whale_transaction_count_100k_usd_to_inf_ethereum,whale_transaction_count_100k_usd_to_inf_ethereum,1,-->,0.3873
whale_transaction_count_100k_usd_to_inf_ethereum,whale_transaction_count_100k_usd_to_inf_chainlink,0,o-o,0.21331
whale_transaction_count_100k_usd_to_inf_ethereum,whale_transaction_count_100k_usd_to_inf_chainlink,1,-->,0.051468
whale_transaction_count_100k_usd_to_inf_ethereum,transaction_volume_bitcoin,0,o-o,0.055499
whale_transaction_count_100k_usd_to_inf_ethereum,transaction_volume_ethereum,0,o-o,0.43833
whale_transaction_count_100k_usd_to_inf_ethereum,transaction_volume_ethereum,1,-->,0.12498
whale_transaction_count_100k_usd_to_inf_ethereum,transaction_volume_chainlink,0,o-o,0.056157
whale_transaction_count_100k_usd_to_inf_ethereum,age_consumed_ethereum,0,o-o,0.057757
whale_transaction_count_100k_usd_to_inf_chainlink,exchange_outflow_usd_chainlink,1,-->,0.10813
whale_transaction_count_100k_usd_to_inf_chainlink,active_addresses_1h_chainlink,1,-->,0.08483
whale_transaction_count_100k_usd_to_inf_chainlink,whale_transaction_count_100k_usd_to_inf_chainlink,1,-->,0.28745
whale_transaction_count_100k_usd_to_inf_chainlink,transaction_volume_ethereum,0,o-o,0.11709
whale_transaction_count_100k_usd_to_inf_chainlink,transaction_volume_chainlink,0,o-o,0.29965
whale_transaction_count_100k_usd_to_inf_chainlink,transaction_volume_chainlink,1,-->,-0.053649
whale_transaction_count_100k_usd_to_inf_chainlink,age_consumed_chainlink,0,o-o,0.11238
whale_transaction_count_100k_usd_to_inf_chainlink,age_consumed_chainlink,1,-->,-0.08391
transaction_volume_bitcoin,transaction_volume_bitcoin,1,-->,0.1509
transaction_volume_bitcoin,transaction_volume_ethereum,0,o-o,0.057696
transaction_volume_bitcoin,transaction_volume_chainlink,0,o-o,0.098841
transaction_volume_bitcoin,age_consumed_bitcoin,0,o-o,0.54742
transaction_volume_bitcoin,age_consumed_chainlink,1,-->,0.044843
transaction_volume_ethereum,whale_transaction_count_100k_usd_to_inf_tether,1,-->,0.066182
transaction_volume_ethereum,transaction_volume_ethereum,1,-->,0.16314
transaction_volume_ethereum,transaction_volume_chainlink,0,o-o,0.040262
transaction_volume_ethereum,age_consumed_ethereum,0,o-o,0.37198
transaction_volume_chainlink,whale_transaction_count_100k_usd_to_inf_chainlink,1,-->,-0.085156
transaction_volume_chainlink,age_consumed_chainlink,0,o-o,0.8301
transaction_volume_chainlink,age_consumed_chainlink,1,-->,-0.08264
age_consumed_tether,exchange_outflow_usd_tether,1,-->,0.0594
age_consumed_tether,whale_transaction_count_100k_usd_to_inf_tether,1,-->,0.07577
age_consumed_bitcoin,exchange_inflow_usd_tether,1,-->,-0.045246
age_consumed_bitcoin,transaction_volume_bitcoin,1,-->,-0.097529
age_consumed_ethereum,transaction_volume_ethereum,1,-->,-0.051699
age_consumed_chainlink,exchange_inflow_usd_chainlink,1,-->,-0.10258
age_consumed_chainlink,active_addresses_1h_chainlink,1,-->,-0.045687
age_consumed_chainlink,whale_transaction_count_100k_usd_to_inf_chainlink,1,-->,-0.098686
age_consumed_chainlink,transaction_volume_chainlink,1,-->,-0.088206
percent_of_total_supply_on_exchanges_tether,percent_of_total_supply_on_exchanges_tether,1,-->,0.70693
percent_of_total_supply_on_exchanges_tether,percent_of_total_supply_on_exchanges_santiment,0,o-o,0.98798
percent_of_total_supply_on_exchanges_tether,percent_of_total_supply_on_exchanges_bitcoin,0,o-o,0.97905
percent_of_total_supply_on_exchanges_tether,percent_of_total_supply_on_exchanges_ethereum,0,o-o,0.97179
percent_of_total_supply_on_exchanges_tether,percent_of_total_supply_on_exchanges_chainlink,0,o-o,0.97962
percent_of_total_supply_on_exchanges_santiment,percent_of_total_supply_on_exchanges_santiment,1,-->,0.1332
percent_of_total_supply_on_exchanges_santiment,percent_of_total_supply_on_exchanges_bitcoin,0,o-o,0.99101
percent_of_total_supply_on_exchanges_santiment,percent_of_total_supply_on_exchanges_ethereum,0,o-o,0.98337
percent_of_total_supply_on_exchanges_santiment,percent_of_total_supply_on_exchanges_chainlink,0,o-o,0.99233
percent_of_total_supply_on_exchanges_bitcoin,percent_of_total_supply_on_exchanges_bitcoin,1,-->,0.1718
percent_of_total_supply_on_exchanges_bitcoin,percent_of_total_supply_on_exchanges_ethereum,0,o-o,0.97775
percent_of_total_supply_on_exchanges_bitcoin,percent_of_total_supply_on_exchanges_chainlink,0,o-o,0.98455
percent_of_total_supply_on_exchanges_ethereum,percent_of_total_supply_on_exchanges_ethereum,1,-->,0.70688
percent_of_total_supply_on_exchanges_ethereum,percent_of_total_supply_on_exchanges_chainlink,0,o-o,0.97392
percent_of_total_supply_on_exchanges_chainlink,percent_of_total_supply_on_exchanges_chainlink,1,-->,0.70699
